subject,cohort,session,block,trial,age_yrs,fam_yrs,cohab_yrs,lspan,age_group,fam_group,targetTalker,polledResponse,buttonResponse,wordScore,numWords,score,gridInfo,word1_target,word1_response,word2_target,word2_response,word3_target,word3_response
1,400,0,1,1,28,10,3,4.5,0,0,4,13.571,9.570,3,3,1,145,3,3,6,6,3,3
1,400,0,1,2,28,10,3,4.5,0,1,2,7.775,4.464,2,3,0.666666667,122,1,1,4,5,2,2
1,400,0,1,3,28,10,3,4.5,0,1,2,9.190,3.791,3,3,1,154,2,2,4,4,1,1
1,400,0,1,4,28,10,3,4.5,0,1,2,7.781,4.174,3,3,1,14,5,5,4,4,1,1
1,400,1,1,1,28,10,3,4.5,0,1,2,7.680,3.988,3,3,1,83,5,5,1,1,6,6
1,400,1,1,2,28,10,3,4.5,0,1,2,5.585,3.639,3,3,1,56,1,1,3,3,1,1
1,400,1,1,3,28,10,3,4.5,0,0,4,8.312,3.798,2,3,0.666666667,71,2,2,6,1,4,4
1,400,1,1,4,28,10,3,4.5,0,1,2,5.704,3.684,2,3,0.666666667,8,4,4,5,1,2,2
1,400,1,1,7,28,10,3,4.5,0,0,3,4.807,2.625,3,3,1,64,2,2,5,5,6,6
1,400,1,1,12,28,10,3,4.5,0,0,3,4.595,2.635,3,3,1,92,5,5,5,5,4,4
1,400,1,1,14,28,10,3,4.5,0,1,2,5.701,3.066,3,3,1,60,3,3,3,3,2,2
1,400,1,1,16,28,10,3,4.5,0,0,3,5.174,2.568,3,3,1,57,4,4,4,4,3,3
1,400,1,1,17,28,10,3,4.5,0,1,2,5.474,3.890,3,3,1,200,5,5,3,3,5,5
1,400,1,1,18,28,10,3,4.5,0,0,3,6.265,2.525,3,3,1,192,4,4,1,1,5,5
1,400,1,1,21,28,10,3,4.5,0,0,3,4.813,2.917,3,3,1,9,3,3,2,2,6,6
1,400,1,1,22,28,10,3,4.5,0,0,3,6.694,2.758,3,3,1,111,5,5,1,1,4,4
1,400,1,1,23,28,10,3,4.5,0,0,3,5.135,2.443,3,3,1,119,5,5,6,6,4,4
1,400,1,1,24,28,10,3,4.5,0,0,3,6.145,2.386,3,3,1,164,2,2,1,1,3,3
1,400,1,1,27,28,10,3,4.5,0,1,2,6.810,3.442,3,3,1,35,2,2,2,2,6,6
1,400,1,1,28,28,10,3,4.5,0,0,3,4.935,4.182,2,3,0.666666667,198,1,1,1,1,3,1
1,400,1,1,29,28,10,3,4.5,0,0,4,6.020,3.881,3,3,1,163,1,1,3,3,6,6
1,400,1,1,31,28,10,3,4.5,0,1,2,4.712,3.316,3,3,1,2,3,3,3,3,5,5
1,400,1,1,34,28,10,3,4.5,0,1,2,6.463,3.450,3,3,1,109,4,4,5,5,6,6
1,400,1,1,36,28,10,3,4.5,0,1,2,5.700,3.532,3,3,1,42,4,4,3,3,5,5
1,400,1,1,38,28,10,3,4.5,0,0,3,5.918,3.296,3,3,1,59,5,5,2,2,3,3
1,400,1,1,39,28,10,3,4.5,0,0,3,6.124,3.252,3,3,1,21,1,1,2,2,4,4
1,400,1,1,41,28,10,3,4.5,0,0,3,4.926,2.433,3,3,1,107,2,2,2,2,3,3
1,400,1,1,43,28,10,3,4.5,0,1,2,8.298,3.976,2,3,0.666666667,76,5,5,6,4,6,6
1,400,1,1,44,28,10,3,4.5,0,1,2,5.584,3.426,3,3,1,193,5,5,2,2,1,1
1,400,1,1,46,28,10,3,4.5,0,1,2,5.907,2.778,3,3,1,44,5,5,6,6,4,4
1,400,1,1,47,28,10,3,4.5,0,1,2,4.931,3.091,3,3,1,13,2,2,4,4,3,3
